.1.3.6.1.4.1.2636.1.1.2.2.6	jnxSlotT640
.1.3.6.1.4.1.2636.1.1.2.2.5	jnxSlotM5
.1.3.6.1.4.1.2636.1.1.2.2.2.4	jnxM20SlotPower
.1.3.6.1.4.1.2636.1.1.3.3.12.1.103	jnxPicSonetOc768Sr
.1.3.6.1.4.1.2636.1.1.2.2.2.3	jnxM20SlotRE
.1.3.6.1.4.1.2636.1.1.3.3.12.1.102	jnxPicType2AtmIIOc48
.1.3.6.1.4.1.2636.1.1.2.2.2.6	jnxM20SlotFrontPanel
.1.3.6.1.4.1.2636.1.1.3.3.12.1.101	jnxPicJseriesT3
.1.3.6.1.4.1.2636.1.1.2.2.2.5	jnxM20SlotFan
.1.3.6.1.4.1.2636.1.1.3.3.12.1.100	jnxPicJseriesDualSerial
.1.3.6.1.4.1.2636.1.1.2.2.6.10	jnxT640SlotSPMB
.1.3.6.1.4.1.2636.1.1.3.3.3.5.32	jnxM160PassiveMonitor
.1.3.6.1.4.1.2636.1.1.2.2.4.1	jnxM10SlotFPC
.1.3.6.1.4.1.2636.1.1.2.2.4.2	jnxM10SlotFEB
.1.3.6.1.4.1.2636.1.1.3.3.12.1.108	jnxPicType3DWDMTenGigEther
.1.3.6.1.4.1.2636.1.1.2.2.4.3	jnxM10SlotRE
.1.3.6.1.4.1.2636.1.1.2.2.4.4	jnxM10SlotPower
.1.3.6.1.4.1.2636.1.1.3.3.12.1.109	jnxPicType4QuadOC192
.1.3.6.1.4.1.2636.1.1.3.3.12.1.106	jnxPicQChoc3
.1.3.6.1.4.1.2636.1.1.2.2.4.5	jnxM10SlotFan
.1.3.6.1.4.1.2636.1.1.3.3.12.1.104	jnxPicQuadSonetOc192XFP
.1.3.6.1.4.1.2636.1.1.2.2.2.1	jnxM20SlotFPC
.1.3.6.1.4.1.2636.1.1.3.3.12.1.105	jnxPicType4Tunnel
.1.3.6.1.4.1.2636.1.1.2.2.2.2	jnxM20SlotSSB
.1.3.6.1.4.1.2636.1.1.3.3.3.5.29	jnxM160DualQChStm1
.1.3.6.1.4.1.2636.1.1.2.2.7	jnxSlotT320
.1.3.6.1.4.1.2636.1.1.2.2.8	jnxSlotM40e
.1.3.6.1.4.1.2636.1.1.2.2.9	jnxSlotM320
.1.3.6.1.4.1.2636.1.1.2.4.1	jnxSubSpaceM160
.1.3.6.1.4.1.2636.1.1.2.3.11.1	jnxM10iMediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.3.3.8.2	jnxM40eSubSFM
.1.3.6.1.4.1.2636.1.1.2.2.8.4	jnxM40eSlotPCG
.1.3.6.1.4.1.2636.1.1.2.2.8.3	jnxM40eSlotHM
.1.3.6.1.4.1.2636.1.1.2.2.8.2	jnxM40eSlotSFM
.1.3.6.1.4.1.2636.1.1.2.2.8.1	jnxM40eSlotFPC
.1.3.6.1.4.1.2636.1.1.2.2.8.8	jnxM40eSlotFPM
.1.3.6.1.4.1.2636.1.1.2.3.15.1	jnxJ6300MediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.2.2.8.7	jnxM40eSlotMCS
.1.3.6.1.4.1.2636.1.1.2.2.8.6	jnxM40eSlotFan
.1.3.6.1.4.1.2636.1.1.2.2.8.5	jnxM40eSlotPower
.1.3.6.1.4.1.2636.1.1.3.3.8.3	jnxM40eSubFPM
.1.3.6.1.4.1.2636.1.1.3.3.1.2	jnxM40PIC0
.1.3.6.1.4.1.2636.1.1.3.3.8.4	jnxM40ePIC0
.1.3.6.1.4.1.2636.1.1.3.3.1.3	jnxM40PIC
.1.3.6.1.4.1.2636.1.1.3.3.8.5	jnxM40ePIC1
.1.3.6.1.4.1.2636.1.1.3.3.8.6	jnxM40ePIC2
.1.3.6.1.4.1.2636.1.1.2.2.8.9	jnxM40eSlotCIP
.1.3.6.1.4.1.2636.1.1.2.2.6.9	jnxT640SlotCIP
.1.3.6.1.4.1.2636.1.1.3.3.3.5	jnxM160PIC1
.1.3.6.1.4.1.2636.1.1.3.3.3.4	jnxM160PIC0
.1.3.6.1.4.1.2636.1.1.2.3.8.1	jnxM40eMediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.2.2.6.7	jnxT640SlotCB
.1.3.6.1.4.1.2636.1.1.3.3.3.6	jnxM160PIC2
.1.3.6.1.4.1.2636.1.1.2.2.6.8	jnxT640SlotFPB
.1.3.6.1.4.1.2636.1.1.3.3.3.3	jnxM160SubFPM
.1.3.6.1.4.1.2636.1.1.3.3.3.2	jnxM160SubSFM
.1.3.6.1.4.1.2636.1.1.2.2.6.1	jnxT640SlotFPC
.1.3.6.1.4.1.2636.1.1.3.3.6.2	jnxT640PIC1
.1.3.6.1.4.1.2636.1.1.2.2.6.2	jnxT640SlotSIB
.1.3.6.1.4.1.2636.1.1.3.3.6.1	jnxT640PIC0
.1.3.6.1.4.1.2636.1.1.3.3.6.4	jnxT640PIC3
.1.3.6.1.4.1.2636.1.1.3.3.6.3	jnxT640PIC2
.1.3.6.1.4.1.2636.1.1.2.2.6.5	jnxT640SlotPower
.1.3.6.1.4.1.2636.1.1.2.2.6.6	jnxT640SlotFan
.1.3.6.1.4.1.2636.1.1.2.2.6.3	jnxT640SlotHM
.1.3.6.1.4.1.2636.1.1.2.2.6.4	jnxT640SlotSCG
